,Name,Buy,Price,Sell,Last Rd %,L5 %,L10 %,Valuation
98,Josh_Honey,5.12,4.34,3.56,-27.67,-27.67,-27.67,Inconclusive
99,Jack_Crisp,9.52,8.97,8.42,1.93,6.79,-3.44,Fair Value
100,Scott_Pendlebury,9.25,8.68,8.11,11.42,1.28,2.0,Overpriced
101,Steele_Sidebottom,9.13,8.56,7.99,-0.23,-1.61,-1.72,Fair Value
102,Brayden_Maynard,9.09,8.52,7.95,4.16,7.98,58.36,Very Overpriced
103,John_Noble,5.51,4.75,3.99,-5.57,-21.62,-21.1,Underpriced
104,Josh_Daicos,6.0,5.26,4.52,-12.91,-30.97,-14.47,Very Underpriced
105,Isaac_Quaynor,6.25,5.53,4.81,-13.86,-10.52,-6.75,Underpriced
106,Brodie_Grundy,10.68,10.19,9.7,8.29,-3.6,41.72,Fair Value
107,Chris_Mayne,8.7,8.1,7.51,0.62,23.29,116.58,Very Overpriced
108,Darcy_Moore,8.61,8.01,7.41,7.95,22.48,17.79,Very Overpriced
109,Will_Hoskin-Elliott,7.49,6.83,6.17,-4.61,-4.61,110.15,Overpriced
110,Jordan_de Goey,9.03,8.45,7.87,7.92,-5.8,72.45,Overpriced
111,Jordan_Roughead,6.74,6.04,5.34,-5.77,35.73,8.83,Fair Value
112,Josh_Thomas,6.06,5.33,4.6,17.92,9.0,30.96,Overpriced
113,Jack_Madgen,5.73,4.98,4.23,12.67,-11.23,50.91,Fair Value
114,Taylor_Adams,9.8,9.26,8.72,-2.63,21.68,4.63,Overpriced
115,Brody_Mihocek,6.57,5.86,5.15,6.35,3.53,-3.3,Fair Value
116,Callum_Brown,3.94,3.09,2.24,1.98,-29.29,-19.32,Very Underpriced
117,Darcy_Cameron,8.46,7.85,7.24,5.37,-13.64,189.67,Overpriced
118,Caleb_Poulter,5.48,4.72,3.96,-23.13,-10.27,-21.33,Inconclusive
119,Tyler_Brown,5.42,4.65,3.88,-12.92,-1.69,62.59,Fair Value
120,Brayden_Sier,6.27,5.55,4.83,32.46,23.88,31.21,Overpriced
121,Jeremy_Howe,5.83,5.08,4.33,-25.51,-33.51,-34.28,Very Underpriced
122,Nathan_Murphy,4.05,3.21,2.37,23.94,-22.28,-46.5,Inconclusive
123,Beau_McCreery,5.01,4.22,3.43,-1.86,-25.44,-29.67,Inconclusive
124,Jamie_Elliott,8.07,7.44,6.81,-3.38,32.38,15.17,Overpriced
125,Mark_Keane,5.24,4.46,3.68,3.24,-25.67,-25.67,Inconclusive
126,Trent_Bianco,5.78,5.03,4.28,9.35,-16.17,-16.17,Inconclusive
127,Mason_Cox,5.46,4.7,3.94,-24.19,-5.05,21.45,Underpriced
128,Finlay_Macrae,4.67,3.86,3.05,-15.9,-35.67,-35.67,Inconclusive
129,Tom_Wilson,4.54,3.73,2.92,-15.03,-37.83,-37.83,Inconclusive
130,Levi_Greenwood,4.09,3.25,2.41,40.69,-20.34,-34.74,Underpriced
131,Max_Lynch,5.13,4.35,3.57,9.3,-27.5,-27.5,Inconclusive
132,Jay_Rantall,3.38,2.5,1.62,-28.37,-58.33,-58.33,Inconclusive
133,Oliver_Henry,3.53,2.66,1.79,-28.88,-55.67,-55.67,Inconclusive
134,Trey_Ruscoe,3.44,2.57,1.7,29.8,-46.9,-57.17,Inconclusive
135,Will_Kelly,4.82,4.02,3.22,-19.44,-33.0,-33.0,Inconclusive
136,Zach_Merrett,10.54,10.04,9.54,9.85,16.07,6.13,Fair Value
137,Darcy_Parish,12.47,12.07,11.67,-4.21,-5.63,35.77,Fair Value
138,Nick_Hind,8.23,7.61,6.99,-11.61,-14.49,5.4,Fair Value
139,Kyle_Langford,9.81,9.27,8.73,3.34,36.12,45.75,Very Overpriced
140,Dyson_Heppell,8.81,8.22,7.63,7.59,9.45,35.42,Overpriced
141,Jordan_Ridley,8.11,7.48,6.85,9.68,-3.98,-6.15,Fair Value
142,Andrew_McGrath,9.44,8.88,8.32,-2.2,14.14,4.84,Fair Value
143,Mason_Redman,6.29,5.57,4.85,-2.62,-21.55,21.09,Fair Value
144,Jayden_Laverde,5.24,4.46,3.68,-0.22,-24.53,-0.67,Underpriced
145,Brayden_Ham,5.58,4.82,4.06,1.47,16.71,2.55,Fair Value
146,Will_Snelling,7.17,6.49,5.81,-6.35,-0.92,63.89,Overpriced
147,Nik_Cox,5.45,4.68,3.91,-25.6,22.19,-18.04,Underpriced
148,Cale_Hooker,6.72,6.02,5.32,-5.79,5.43,-25.68,Underpriced
149,Anthony_McDonald-Tipungwuti,5.5,4.74,3.98,-12.71,-44.95,-28.83,Very Underpriced
150,Archie_Perkins,4.63,3.82,3.01,20.89,-13.18,-14.92,Inconclusive
151,Devon_Smith,5.28,4.51,3.74,7.64,-26.79,-23.43,Very Underpriced
152,Jake_Stringer,10.55,10.05,9.55,12.29,23.16,192.15,Very Overpriced
153,Matt_Guelfi,5.38,4.61,3.84,2.9,-10.31,10.55,Fair Value
154,Peter_Wright,6.99,6.31,5.63,1.45,-9.47,3.78,Fair Value
155,Aaron_Francis,4.31,3.48,2.65,-10.54,-35.07,-15.94,Very Underpriced
156,Harry_Jones,5.84,5.09,4.34,-13.73,-7.96,27.57,Fair Value
157,James_Stewart,5.44,4.67,3.9,-7.16,2.64,-3.31,Fair Value
158,David_Zaharakis,6.3,5.58,4.86,3.91,-4.62,15.53,Fair Value
159,Alec_Waterman,5.7,4.95,4.2,4.43,-24.54,-17.5,Inconclusive
160,Andrew_Phillips,7.39,6.73,6.07,8.72,18.9,-11.21,Overpriced
161,Brandon_Zerk-Thatcher,4.41,3.59,2.77,11.15,9.12,16.94,Very Overpriced
162,Sam_Draper,7.29,6.62,5.95,6.09,48.43,5.08,Inconclusive
163,Dylan_Shiel,8.62,8.02,7.42,-4.3,-3.37,13.44,Fair Value
